STA,Date,Precip,WindGustSpd,MaxTemp,MinTemp,MeanTemp,Snowfall,PoorWeather,YR,MO,DA
10001,01-07-42,1.016,,25.55555556,22.22222222,23.88888889,0,,42,7,1
10001,02-07-42,0,,28.88888889,21.66666667,25.55555556,0,,42,7,2
10001,03-07-42,2.54,,26.11111111,22.22222222,24.44444444,0,,42,7,3
10001,04-07-42,2.54,,26.66666667,22.22222222,24.44444444,0,,42,7,4
10001,05-07-42,0,,26.66666667,21.66666667,24.44444444,0,,42,7,5
10001,06-07-42,0,,26.66666667,21.66666667,24.44444444,0,,42,7,6
10001,07-07-42,T,,28.33333333,22.77777778,25.55555556,0,,42,7,7
10001,08-07-42,3.556,,26.66666667,22.22222222,24.44444444,0,,42,7,8
10001,09-07-42,T,,27.22222222,22.77777778,25,0,,42,7,9
10001,10-07-42,3.556,,25.55555556,21.66666667,23.33333333,0,,42,7,10
10001,11-07-42,0,,25.55555556,21.66666667,23.33333333,0,,42,7,11
10001,12-07-42,0.508,,24.44444444,22.22222222,23.33333333,0,,42,7,12
10001,13-07-42,0,,26.11111111,21.66666667,23.88888889,0,,42,7,13
10001,14-07-42,0,,26.11111111,22.22222222,24.44444444,0,,42,7,14
10001,15-07-42,0,,25.55555556,22.77777778,24.44444444,0,,42,7,15
10001,16-07-42,T,,26.11111111,21.11111111,23.33333333,0,,42,7,16
10001,17-07-42,T,,28.33333333,22.22222222,25.55555556,0,,42,7,17
10001,18-07-42,T,,26.66666667,21.11111111,23.88888889,0,,42,7,18
10001,19-07-42,0,,27.77777778,21.66666667,24.44444444,0,,42,7,19
10001,20-07-42,0,,26.11111111,20,23.33333333,0,,42,7,20
10001,21-07-42,T,,24.44444444,21.66666667,23.33333333,0,,42,7,21
10001,22-07-42,T,,24.44444444,21.11111111,22.77777778,0,,42,7,22
10001,23-07-42,0,,26.66666667,20.55555556,23.33333333,0,,42,7,23
10001,24-07-42,0,,27.22222222,18.88888889,23.33333333,0,,42,7,24
10001,25-07-42,0,,27.22222222,19.44444444,23.33333333,0,,42,7,25
10001,26-07-42,0,,25.55555556,19.44444444,22.22222222,0,,42,7,26
10001,27-07-42,0,,25.55555556,19.44444444,22.77777778,0,,42,7,27
10001,28-07-42,0,,26.66666667,19.44444444,23.33333333,0,,42,7,28
10001,29-07-42,0,,26.66666667,19.44444444,23.33333333,0,,42,7,29
10001,30-07-42,0,,27.22222222,19.44444444,23.33333333,0,,42,7,30
10001,31-07-42,0,,27.22222222,19.44444444,23.33333333,0,,42,7,31
10001,01-08-42,0,,26.11111111,20,23.33333333,0,,42,8,1
10001,02-08-42,0,,24.44444444,20.55555556,22.22222222,0,,42,8,2
10001,03-08-42,0,,24.44444444,20.55555556,22.22222222,0,,42,8,3
10001,04-08-42,0,,26.66666667,21.11111111,23.88888889,0,,42,8,4
10001,05-08-42,T,,26.66666667,21.11111111,23.88888889,0,,42,8,5
10001,06-08-42,0,,24.44444444,21.66666667,23.33333333,0,,42,8,6
10001,07-08-42,T,,24.44444444,21.11111111,22.77777778,0,,42,8,7
10001,08-08-42,0,,26.11111111,20.55555556,23.33333333,0,,42,8,8
10001,09-08-42,0,,26.11111111,20.55555556,23.33333333,0,,42,8,9
10001,10-08-42,0,,27.22222222,21.66666667,24.44444444,0,,42,8,10
10001,11-08-42,0,,25,21.66666667,23.33333333,0,,42,8,11
10001,12-08-42,0,,25.55555556,20.55555556,23.33333333,0,,42,8,12
10001,13-08-42,0,,25.55555556,20.55555556,23.33333333,0,,42,8,13
10001,14-08-42,T,,25.55555556,20,22.77777778,0,,42,8,14
10001,15-08-42,0.254,,25.55555556,17.77777778,21.66666667,0,,42,8,15
